timestamp,process_name,cpu_usage,memory_usage,file_read_count,file_write_count,file_delete_count,registry_change_count,network_connections,entropy,extension_change,process_spawn_count,label
2026-01-01 21:54:20,rundll32_helper.exe,36.75,334.12,8,32,5,4,1,7.5821,1,0,1
2026-01-01 09:43:10,teams.exe,5.33,125.01,7,2,0,0,2,4.3878,0,0,0
2026-01-01 10:27:10,powershell.exe,13.95,185.27,7,1,0,0,2,2.0609,0,0,0
2026-01-01 14:34:30,cmd.exe,2.33,141.01,5,6,1,0,1,4.5002,0,0,0
2026-01-01 13:32:50,winword.exe,7.88,37.74,5,3,0,0,0,1.9697,0,1,0
2026-01-01 09:25:40,teams.exe,1.55,52.09,4,0,0,0,1,2.3976,0,0,0
2026-01-02 00:31:00,rundll32_helper.exe,74.29,370.09,10,30,5,3,1,6.7284,1,2,1
2026-01-01 10:45:30,excel.exe,12.41,146.85,2,1,0,1,1,1.5802,0,1,0
2026-01-01 18:14:50,winlogon_svc.exe,72.93,312.77,9,23,5,3,1,7.3169,1,6,1
2026-01-01 16:34:40,lsass_helper.exe,35.8,314.38,7,25,4,1,0,7.4692,1,1,1
2026-01-01 19:14:20,rundll32_helper.exe,64.01,369.74,6,25,2,5,0,7.2742,1,5,1
2026-01-01 11:40:00,explorer.exe,11.5,58.75,6,3,0,1,1,1.4584,0,0,0
2026-01-01 23:03:00,lsass_helper.exe,53.49,350.03,9,26,3,6,0,7.6742,1,0,1
2026-01-01 10:07:30,explorer.exe,15.59,89.84,5,3,0,0,3,2.9124,0,1,0
2026-01-01 22:41:40,svc_update32.exe,44.89,142.69,11,22,9,4,1,7.5898,1,0,1
2026-01-01 13:27:30,explorer.exe,22.75,62.09,3,2,0,2,3,2.4665,0,0,0
2026-01-01 12:03:10,teams.exe,20.41,108.95,8,1,0,0,2,2.2751,0,0,0
2026-01-01 19:03:40,conhost_srv.exe,85.65,263.66,5,28,5,4,0,7.4073,0,4,1
2026-01-01 22:17:00,conhost_srv.exe,86.81,151.09,7,39,4,4,1,7.8609,1,2,1
2026-01-01 16:33:30,taskhost_helper.exe,77.73,130.6,5,22,3,2,3,7.7057,1,1,1
2026-01-01 08:26:30,slack.exe,24.31,124.01,2,1,0,0,0,1.1321,0,0,0
2026-01-01 22:48:00,lsass_helper.exe,33.69,99.88,8,27,3,3,2,6.8873,1,4,1
2026-01-01 12:44:00,slack.exe,24.98,76.97,3,1,0,1,2,2.2814,0,0,0
2026-01-01 19:36:10,csrss_svc.exe,34.53,168.62,11,30,3,9,0,7.4211,1,1,1
2026-01-01 22:55:00,svc_update32.exe,83.37,342.65,12,27,3,5,0,7.7981,1,3,1
2026-01-01 20:40:10,taskhost_helper.exe,82.45,341.98,12,29,3,3,1,7.0573,1,2,1
2026-01-01 17:51:40,svc_update32.exe,74.03,274.38,7,37,4,7,2,7.478,1,0,1
2026-01-01 17:35:40,syswow64svc.exe,68.17,318.42,5,25,5,4,0,7.1957,1,2,1
2026-01-01 13:28:30,notepad.exe,14.17,172.58,10,0,0,0,3,2.579,0,1,0
2026-01-01 19:36:20,lsass_helper.exe,56.88,149.41,10,27,6,2,0,7.8263,1,1,1
2026-01-01 20:09:40,lsass_helper.exe,41.36,158.87,10,30,7,2,1,7.1842,1,2,1
2026-01-02 00:10:10,taskhost_helper.exe,52.96,373.1,8,32,6,3,1,7.9089,1,3,1
2026-01-01 15:26:40,firefox.exe,6.52,155.53,4,2,0,0,1,1.9042,0,0,0
2026-01-01 10:47:40,chrome.exe,22.75,61.46,3,3,0,0,4,3.5527,0,1,0
2026-01-01 08:37:50,winword.exe,24.88,186.13,5,0,0,2,1,1.8115,0,0,0
2026-01-01 16:26:00,rundll32_helper.exe,50.37,134.4,7,23,8,1,1,7.978,1,1,1
2026-01-01 08:55:00,explorer.exe,11.98,142.29,9,0,1,0,1,0.1542,0,0,0
2026-01-01 18:22:10,wmiprvse_helper.exe,61.8,233.3,12,27,4,2,1,7.904,0,1,1
